,Unnamed: 0,店铺名称,用户名,评论
60971,102,韩国小胖料理自助烤肉,匿名用户,吃得太腻人了，也没吃几口，肉只有四种，菜品真的特别少，并且想去自取菜，但一直没有让我们自己去，我们要求看菜单后才发现培根没给我上，我们要了才给我们拿了几片。 开始服务还挺好，非常热情，但是过了半小时就有点不耐烦，我们也非常客气的说让阿姨们自己休息一下，我们自己烤，她催我们全下了，可以让我们快点吃完快点走，但我怕浪费我们就还不想下。 来成都旅游，去烤肉店骑了将近7公里的小电驴，这次烤肉吃得我今年都不想吃烤肉了，看着都没食欲，都不想拍照。
60972,103,韩国小胖料理自助烤肉,相遇你496,挺好的，猪肉涨价后没以前好吃了，还可以吧
60973,104,韩国小胖料理自助烤肉,anJ433693124,这次就餐整体感觉很赞，比较满意的方面有：性价比。
60974,105,韩国小胖料理自助烤肉,Myt479310644,这个真的是…肉菜只有四个，素菜也少，反正菜品真的一般。而且说是自助，我们说自己烤，也不让我们自己烤，也没有问我们要吃什么，直接把他想上的菜上了，还一下给我们烤了，有好多的肥肉，我知道他要炸油，但是后面油炸出来好多，我们把肥肉夹起来，他又给我们夹回去了。一开始服务还行，但后面有点板着脸，感觉像是想让我们快走，还一会又把火给我们关了，我们说把火打开，自己慢慢烤，脸色就开始有点不好。反正这是体验感最差的一次自助烤肉，只吃了一点肉就腻了，太腻了。就吃了一点就走了，真的吃的我有点恶心，算了算了…
60975,106,韩国小胖料理自助烤肉,LJe951746355,超好吃！ 推荐
60976,107,韩国小胖料理自助烤肉,泡芙妹妹ko,这个自助怎么说呢 肉菜只有四个 然后就是一些很普通的素菜 我连照片都不想拍 难看且腻人 也不好吃 体验感就挺差的 虽然阿姨们挺热情的 但是后面就板着脸了 可能吃的太晚了 但是我们就来了一个小时不到 而且 吃完才七点 店内人特别少 总之体验感比较差吧 不怎么推荐 要吃烤肉还是去贵一点的地方去吧 这 咋说 挺无语的
60977,108,韩国小胖料理自助烤肉,张遇然,还可以
60978,109,韩国小胖料理自助烤肉,匿名用户,有店里阿姨来烤，五花肉很实在，小菜也挺好吃的
60979,110,韩国小胖料理自助烤肉,Yo_ham,家对面这家烤肉，一直没来吃，没想到这么好吃，尤其是五花肉还有牛肉这些，烤的滋滋滋冒油，很香，能吃出是特别好的肉。腌黄瓜也很不错，阿姨还帮忙烤肉，剪肉，服务态度挺不错的，环境还可以，主要是味道很不错👍
60980,111,韩国小胖料理自助烤肉,uiC839291274,很好吃 有梅肉 五花肉 培根 肥牛  都很好吃 也不腻有泡菜解腻
60981,112,韩国小胖料理自助烤肉,小猪猪爱哭哭,菜品有点少，其他不错，服务也不错肉很好吃。
60982,113,韩国小胖料理自助烤肉,小哈A370,性价比一般，肉就3种，五花肉太肥，店里那个孃孃服务是真的差，有可能是加盟老板吧，这也怕人动那也怕人摸的样子，看个菜单她都要赶紧要起走，难道我还要把你菜单吃了？五花肉那么肥你想烤焦点吃，她直接给你把火关了，生害怕多用点气了，烤盘一边火大一边火小，火小的那边烤都没烤到她就给你把火关了喊你可以吃了。
60983,114,韩国小胖料理自助烤肉,qhl172535734,不想吐槽，难吃，差评，除了土豆好吃一点 其它超级难吃，肉吃几是丑的 不可能来第二次了，饮料瓶子也很脏
60984,115,韩国小胖料理自助烤肉,灬孩子饿了灬,新推出了一款肉超超超好吃了！嫩嫩脆脆的！
60985,116,韩国小胖料理自助烤肉,Wmz536991693,很满意的一次就餐体验，整体评价的话我觉得：口味。
60986,117,韩国小胖料理自助烤肉,COE820993514,还行，就是59块钱对于只有肉食没有海鲜来说，还是贵了一些。
60987,118,韩国小胖料理自助烤肉,孙先桑,哎呦 不错哦。             ^_^^_^^_^^-^一个人就会
