,Unnamed: 0,店铺名称,用户名,评论
61571,118,韩婆婆小院烧烤,dls182787473,吃过好多次啦，菜品很多哦！而且味道也不错这个价位还不错呢，不过我也是从59吃到现在七十的人，但是以前的饺子没有了，以前的饺子特别好吃，应该是自己包的，现在应该是买的速冻饺子，好可惜我最爱的饺子没有了
61572,119,韩婆婆小院烧烤,ciW317774444,很满意的一次就餐体验，整体评价的话我觉得：环境、服务。
61573,120,韩婆婆小院烧烤,MZG586748574,好吃
61574,121,韩婆婆小院烧烤,璐璐姐732,味道可以，菜品比较新鲜
61575,122,韩婆婆小院烧烤,chenzhenchenchen,奶茶好喝 非常不错
61576,123,韩婆婆小院烧烤,王保长2,第二次去了，感觉还可以吧！人很多
61577,124,韩婆婆小院烧烤,chenzhenchenchen,非常划算
61578,125,韩婆婆小院烧烤,_qqs7c1428908757,距离家里很近，位置也很好找，去的时候的收银态度额，，，退押金的小姐姐态度很好，希望下次可以自己选位置就更好了，整体菜品很新鲜，中类很多，结婚纪念日选的这里，还比较满意，下次朋友聚餐什么的可以再来，值得一试
61579,126,韩婆婆小院烧烤,何嘉朗,菜品一般。环境一般。都是体验都一般。
61580,127,韩婆婆小院烧烤,豆芽豆芽1,还可以，就是小孩没怎么吃，收的也是全价
61581,128,韩婆婆小院烧烤,lLe309010110,在温江发现的一家宝藏级自助烧烤店，菜品比较丰富而且都是小盘装好的，比较方便拿取，也很美观适合拍照。位置很好找就在路边，服务也不错，价格又很优惠，相比起点餐价格优惠了不少菜品又和点餐差不多。最重要的是味道也不错。性价比很高的
61582,129,韩婆婆小院烧烤,扒飞机的小蜜蜂,味道赞，人超多，关键离家近??
61583,130,韩婆婆小院烧烤,zGd342311474,种类挺多的，我觉得还是不错的。（图是随便配的。。。。。）
61584,131,韩婆婆小院烧烤,Xiu吃不饱,味道可以 人超级多 建议提前预约免排队
61585,132,韩婆婆小院烧烤,SeB754465036,不错
61586,133,韩婆婆小院烧烤,cOm707797484,菜品还挺多的，味道也不错，吃了很多次了，周末的时候可能要排队。
61587,134,韩婆婆小院烧烤,wzA984437228,饭菜可口环境非常干净服务的态度也非常好食物也很新鲜真的很不错
61588,135,韩婆婆小院烧烤,怪人。538,吃过很多次，这个价格很不错了，肉新鲜，五花肉鸡皮最好吃，节假日可能要排队。就是有点冷，不在室内，塑料布盖不住，漏风。还是推荐，毕竟好吃新鲜最重要。
61589,136,韩婆婆小院烧烤,文婧也,第一次来韩婆婆吃烤肉，真的巨好吃，每一样菜品都看起很新鲜，干净，主要的是服务员阿姨人超好，我吃那个鲫鱼（怪我自己不小心）卡起了，哪些阿姨接忙来问我，给我拿韭菜喊我吃，给我倒醋，超级暖像个人屋头的亲戚一样，很有人情味
61590,137,韩婆婆小院烧烤,hgY619781892,菜品新鲜，环境很好，工作人员服务态度也很不错，重要的是价格还便宜。
61591,138,韩婆婆小院烧烤,tjf涂,菜品种类多，也比较新鲜，味道还不错
61592,139,韩婆婆小院烧烤,tNk734077548,不错
61593,140,韩婆婆小院烧烤,啾咪小老鼠,时常光顾的一家店，味道还不错。
61594,141,韩婆婆小院烧烤,lxy40095138,还行吧！菜品还不错\(//?//)\
61595,142,韩婆婆小院烧烤,OLD234119966,还行，就是那个肥牛只拿了两盘就没有了
61596,143,韩婆婆小院烧烤,VPV577831707,去晚了？八点多就很多东西没了 难受?
61597,144,韩婆婆小院烧烤,iVU130807083,这次就餐整体感觉很赞，比较满意的方面有：口味、环境、团购接待、性价比、服务。
