,Unnamed: 0,店铺名称,用户名,评论
15608,148,大美蓉城自助火锅烤肉（温江店）,花落源,环境不错，味道好，值得推荐
15609,149,大美蓉城自助火锅烤肉（温江店）,Vzw460313943,环境可以的 回头客了  在大学城性价比不错
15610,150,大美蓉城自助火锅烤肉（温江店）,匿名用户,味道不错的呢 肥牛有点少 水果种类不多 #千层肚# #牛羊肉#
15611,151,大美蓉城自助火锅烤肉（温江店）,匿名用户,吃的时候就觉得不知道是油碟还是菜品有点发酸，还倒了重新调了一碗油碟，依旧发酸，但是两次都没有放醋，当时以为是自己的错觉，当天回来我和老公就肚子不舒服了，一晚上拉肚子跑了好多次厕所，早上起来继续拉肚子，不卫生太坑了
15612,152,大美蓉城自助火锅烤肉（温江店）,fft188230369,性价比还是不错 位置也方便 只是夏天大厅太热了 人有点多
15613,153,大美蓉城自助火锅烤肉（温江店）,kuai1314,口味很适合我，反正吃起来可以就行了，来吃了好多年了
15614,154,大美蓉城自助火锅烤肉（温江店）,fft188230369,位置很好找 但是大厅有点热 其他都不错
15615,155,大美蓉城自助火锅烤肉（温江店）,fft188230369,菜品挺多 但是人太多了 大厅有点热
15616,156,大美蓉城自助火锅烤肉（温江店）,匿名用户,没有以前好吃了，海鲜冰箱里的肉不敢吃，太硬了。 #鸡脚鸡翅#
15617,157,大美蓉城自助火锅烤肉（温江店）,aXUNGXING,味道不行 感觉油很撇 吃了肚子不舒服
15618,158,大美蓉城自助火锅烤肉（温江店）,匿名用户,不错，很不错 ，非常不错 ，巴适得板
15619,159,大美蓉城自助火锅烤肉（温江店）,xwy1005,菜品种很少，鸭肠吃了两份就没有了，冻货比较多。
15620,160,大美蓉城自助火锅烤肉（温江店）,乐了542,菜品丰富，环境好，价格便宜，味道还行
15621,161,大美蓉城自助火锅烤肉（温江店）,WTQ378382008,价钱实惠，味道一般吧！！！！！！
15622,162,大美蓉城自助火锅烤肉（温江店）,花落源,里面环境挺不错的，服务员也勤快，见到盘子就收了，菜品丰富新鲜，大美蓉城火锅是比较推荐的一家自助餐 #肥牛# #五花肉毛肚# #西瓜# #卤菜# #鸳鸯锅底# #千层肚# #毛肚鸭肠# #鱿鱼# #卤鸡脚#
15623,163,大美蓉城自助火锅烤肉（温江店）,匿名用户,去过挺多次的感觉还不错😊大学附近就是便宜
15624,164,大美蓉城自助火锅烤肉（温江店）,罐罐lyh,菜品很少，肥牛海鲜不新鲜。锅底一看就是反复利用
15625,165,大美蓉城自助火锅烤肉（温江店）,匿名用户,菜品味道可以 不知道她是不是领班服务比较周到 而且很为顾客着想 很不好的就是我们都还在用餐服务员就在催我们走说他们要下班了 除了这点意外其它都还好吧
15626,166,大美蓉城自助火锅烤肉（温江店）,一颗西lan花,很多菜品都不错的，但是还是有一点，肉质死，柴。柜里有几样海鲜吧，全都是干的变质的不能吃的，说实在的这个价格店家不准备海鲜很正常，但是拿变质的，干的都没肉了的海鲜出来唬人就不太好了，下到锅里都坏了
15627,167,大美蓉城自助火锅烤肉（温江店）,DKl287136208,服务人员很热情，口味一般，素菜和荤菜还是新鲜，整体满意
15628,168,大美蓉城自助火锅烤肉（温江店）,匿名用户,品类太少，质量差冰箱里好多肉看着像过期的，全是暗红色的
15629,169,大美蓉城自助火锅烤肉（温江店）,小黄镜,菜品没有以前多了，不是很新鲜，摆放不卫生，洗手间极度差评，脏得要命啊。。。吃完东西去差点吐了
15630,170,大美蓉城自助火锅烤肉（温江店）,果果5140, #肥牛# #牛筋# #黄喉# #小蛋糕# #千层肚# #五花肉毛肚# #西瓜# #红锅锅底# #卤菜#
15631,171,大美蓉城自助火锅烤肉（温江店）,匿名用户,感觉不怎么样，一个寝室去吃了都拉肚子，大家去的话注意点有点脏一星
15632,172,大美蓉城自助火锅烤肉（温江店）,ErH972286607,不错不错，只知道是一家老店，这还是第一次去，感觉很赞啊！
15633,173,大美蓉城自助火锅烤肉（温江店）,匿名用户,一般般，菜品都不摆出来叫什么自助餐讷，很不开心
15634,174,大美蓉城自助火锅烤肉（温江店）,沐沐的皮卡丘,昨天去的  好热啊   真的有些菜酸了，希望老板能引起重视，   西瓜倒是比较好，像椰汁这些饮料真的是  喝了一口就不想喝第二口这种
