,Unnamed: 0,店铺名称,用户名,评论
111,111,芭夯兔（温江店）,UMP901237065,非常好，量足，肉都没有吃完
112,112,芭夯兔（温江店）,匿名用户,此次用餐总体来说不错，觉得比较认可的地方有：性价比、口味、环境、服务、团购接待。
113,113,芭夯兔（温江店）,drP629946721,好吃好吃? 经常来这里吃。味道好。服务号。干净卫生
114,114,芭夯兔（温江店）,laomadian,以为是中餐，结果是汤锅类的，更喜欢。汤好喝，兔肉很嫩，两个人都吃不完
115,115,芭夯兔（温江店）,shenjian0506,非常满意一直吃
116,116,芭夯兔（温江店）,匿名用户,环境很好，肉很鲜嫩，服务也不错
117,117,芭夯兔（温江店）,ilF522731237,很实惠，我们五个人去吃的，吃??很满足下次请客还带朋友去
118,118,芭夯兔（温江店）,xus99377458,兔肉挺好吃，但是服务员可能比较忙，态度不是很积极，其他不错，可以去吃
119,119,芭夯兔（温江店）,HYh581829625,此次用餐总体来说不错，觉得比较认可的地方有：环境、性价比、团购接待、服务、口味。
120,120,芭夯兔（温江店）,罗Jia云卿,味道可以，环境也比较干净，份量不多！
121,121,芭夯兔（温江店）,aPe177403996,生意好，口味很清淡，很适合老人口味，蘸碟味道喜欢青椒的，团的券没吃完还打包了，很值。
122,122,芭夯兔（温江店）,SWG331176054,有甜糯的糍粑、有香卤的鸭头，有美味的兔兔和鲜榨的花生奶，性价比真不错，值得再来。
123,123,芭夯兔（温江店）,CLE718590458,服务热请，味道不错，还会再来呢
124,124,芭夯兔（温江店）,虎妹753,回头客了，适合带老人和小孩去，兔肉很滑嫩，店员服务态度非常好
125,125,芭夯兔（温江店）,CnQ349517107,服务态度相当好，味道非常巴适，性价比确实高，第一次来吃这家，老人小孩都喜欢吃，下次还会再来。
126,126,芭夯兔（温江店）,dTf443582557,菜品丰富，味道不错，值得品尝，很好
127,127,芭夯兔（温江店）,段平平1127,不知道第几次去了，反正味道一直好，，就是昨天人气爆满啊，生意太好了，排了一会队
128,128,芭夯兔（温江店）,匿名用户,每次到店都会点的鸭头，味道很好吃，辣味也合适
129,129,芭夯兔（温江店）,幻影拜金女,很满意的一次就餐体验，整体评价的话我觉得：团购接待、服务、口味。
130,130,芭夯兔（温江店）,PdJ886830788,味道还是原来的味道，味道比较清淡适合老人小孩????
